"","relig","polviews","year","At_NonAt","Wing"
"47","Catholic","Moderate",1974,"Religious","Other"
"48","Protestant","Moderate",1974,"Religious","Other"
"49","Protestant","Conservative",1974,"Religious","Other"
"50","Protestant","Liberal",1974,"Religious","Liberal"
"51","Catholic","Moderate",1974,"Religious","Other"
"52","Protestant","Slightly Conservative",1974,"Religious","Other"
"53","Protestant","Slightly Conservative",1974,"Religious","Other"
"54","Protestant","Slightly Liberal",1974,"Religious","Liberal"
"55","Catholic","Extrmly Conservative",1974,"Religious","Other"
"56","Protestant","Extrmly Conservative",1974,"Religious","Other"
"57","Protestant","Moderate",1974,"Religious","Other"
"58","Protestant","Moderate",1974,"Religious","Other"
"59","Protestant","Slightly Liberal",1974,"Religious","Liberal"
"60","Protestant","Slightly Liberal",1974,"Religious","Liberal"
"61","Protestant","Moderate",1974,"Religious","Other"
"62","Protestant","Conservative",1974,"Religious","Other"
"63","Protestant","Moderate",1974,"Religious","Other"
"64","Protestant","Slightly Liberal",1974,"Religious","Liberal"
"65","Catholic","Moderate",1974,"Religious","Other"
"66","Protestant","Slightly Conservative",1974,"Religious","Other"
"67","Protestant","Extrmly Conservative",1974,"Religious","Other"
"68","Protestant","Moderate",1974,"Religious","Other"
"69","Protestant","Slightly Conservative",1974,"Religious","Other"
"70","Protestant","Conservative",1974,"Religious","Other"
"71","Protestant","Moderate",1974,"Religious","Other"
"72","Protestant","Slightly Conservative",1974,"Religious","Other"
"73","Protestant","Moderate",1974,"Religious","Other"
"74","Protestant","Moderate",1974,"Religious","Other"
"75","None","Moderate",1974,"Non_religious","Other"
"76","Protestant","Slightly Conservative",1974,"Religious","Other"
"77","Protestant","Moderate",1974,"Religious","Other"
"78","Catholic","Slightly Liberal",1974,"Religious","Liberal"
"79","Protestant","Slightly Liberal",1974,"Religious","Liberal"
"80","None","Moderate",1974,"Non_religious","Other"
"81","Protestant","Slightly Conservative",1974,"Religious","Other"
"82","Protestant","Conservative",1974,"Religious","Other"
"83","Catholic","Moderate",1974,"Religious","Other"
"84","Catholic","Liberal",1974,"Religious","Liberal"
"85","Catholic","Slightly Conservative",1974,"Religious","Other"
"86","Protestant","Slightly Liberal",1974,"Religious","Liberal"
"87","Catholic","Slightly Liberal",1974,"Religious","Liberal"
"88","Catholic","Liberal",1974,"Religious","Liberal"
"89","Protestant","Moderate",1974,"Religious","Other"
"90","Catholic","Conservative",1974,"Religious","Other"
"91","Catholic","Moderate",1974,"Religious","Other"
"92","Catholic","Moderate",1974,"Religious","Other"
"93","Protestant","Slightly Liberal",1974,"Religious","Liberal"
"94","Protestant","Moderate",1974,"Religious","Other"
"95","Protestant","Extrmly Conservative",1974,"Religious","Other"
"96","Protestant","Slightly Conservative",1974,"Religious","Other"
"97","Protestant","Slightly Conservative",1974,"Religious","Other"
"98","Protestant","Slightly Conservative",1974,"Religious","Other"
"99","Catholic","Moderate",1974,"Religious","Other"
"100","Catholic","Moderate",1974,"Religious","Other"
"101","Protestant","Moderate",1974,"Religious","Other"
"102","Protestant","Moderate",1974,"Religious","Other"
"103","None","Liberal",1974,"Non_religious","Liberal"
"104","Protestant","Slightly Conservative",1974,"Religious","Other"
"105","Protestant","Conservative",1974,"Religious","Other"
"106","Protestant","Liberal",1974,"Religious","Liberal"
"107","Catholic","Liberal",1974,"Religious","Liberal"
"108","Protestant","Moderate",1974,"Religious","Other"
"109","None","Liberal",1974,"Non_religious","Liberal"
"110","Protestant","Moderate",1974,"Religious","Other"
"111","Jewish","Moderate",1974,"Religious","Other"
"112","Catholic","Conservative",1974,"Religious","Other"
"113","Other","Conservative",1974,"Religious","Other"
"114","Catholic","Moderate",1974,"Religious","Other"
"115","Protestant","Extrmly Conservative",1974,"Religious","Other"
"116","Catholic","Liberal",1974,"Religious","Liberal"
"117","Catholic","Liberal",1974,"Religious","Liberal"
"118","Protestant","Moderate",1974,"Religious","Other"
"119","None","Slightly Liberal",1974,"Non_religious","Liberal"
"120","Protestant","Liberal",1974,"Religious","Liberal"
"121","Protestant","Moderate",1974,"Religious","Other"
"122","Protestant","Conservative",1974,"Religious","Other"
"123","Catholic","Moderate",1974,"Religious","Other"
"124","Protestant","Slightly Conservative",1974,"Religious","Other"
"125","Catholic","Conservative",1974,"Religious","Other"
"126","Protestant","Conservative",1974,"Religious","Other"
"127","Protestant","Moderate",1974,"Religious","Other"
"128","None","Moderate",1974,"Non_religious","Other"
"129","Protestant","Conservative",1974,"Religious","Other"
"130","Catholic","Conservative",1974,"Religious","Other"
"131","Catholic","Slightly Liberal",1974,"Religious","Liberal"
"132","Catholic","Liberal",1974,"Religious","Liberal"
"133","Protestant","Moderate",1974,"Religious","Other"
"134","Protestant","Extremely Liberal",1974,"Religious","Liberal"
"135","Protestant","Moderate",1974,"Religious","Other"
"136","Protestant","Liberal",1974,"Religious","Liberal"
"137","None","Liberal",1974,"Non_religious","Liberal"
"138","Other","Conservative",1974,"Religious","Other"
"139","None","Moderate",1974,"Non_religious","Other"
"140","Catholic","Slightly Liberal",1974,"Religious","Liberal"
"141","Protestant","Conservative",1974,"Religious","Other"
"142","Jewish","Slightly Liberal",1974,"Religious","Liberal"
"143","Protestant","Slightly Liberal",1974,"Religious","Liberal"
"144","Protestant","Slightly Conservative",1974,"Religious","Other"
"145","Catholic","Extremely Liberal",1974,"Religious","Liberal"
"146","Catholic","Moderate",1974,"Religious","Other"
"147","None","Extrmly Conservative",1974,"Non_religious","Other"
"148","Protestant","Slightly Liberal",1974,"Religious","Liberal"
"149","Protestant","Slightly Liberal",1974,"Religious","Liberal"
"150","Protestant","Slightly Conservative",1974,"Religious","Other"
"151","Protestant","Moderate",1974,"Religious","Other"
"152","Protestant","Moderate",1974,"Religious","Other"
"153","None","Moderate",1974,"Non_religious","Other"
"154","Protestant","Slightly Conservative",1974,"Religious","Other"
"155","Protestant","Moderate",1974,"Religious","Other"
"156","Catholic","Moderate",1974,"Religious","Other"
"157","Protestant","Moderate",1974,"Religious","Other"
"158","Other","Liberal",1974,"Religious","Liberal"
"159","Protestant","Extrmly Conservative",1974,"Religious","Other"
"160","Protestant","Slightly Liberal",1974,"Religious","Liberal"
"161","Protestant","Slightly Conservative",1974,"Religious","Other"
"162","Protestant","Liberal",1974,"Religious","Liberal"
"163","Protestant","Conservative",1974,"Religious","Other"
"164","None","Moderate",1974,"Non_religious","Other"
"165","Protestant","Liberal",1974,"Religious","Liberal"
"166","Catholic","Liberal",1974,"Religious","Liberal"
"167","None","Extremely Liberal",1974,"Non_religious","Liberal"
"168","Other","Liberal",1974,"Religious","Liberal"
"169","Catholic","Slightly Conservative",1974,"Religious","Other"
"170","None","Slightly Liberal",1974,"Non_religious","Liberal"
"171","Protestant","Slightly Conservative",1974,"Religious","Other"
"172","Protestant","Moderate",1974,"Religious","Other"
"173","Catholic","Liberal",1974,"Religious","Liberal"
"174","Protestant","Slightly Liberal",1974,"Religious","Liberal"
"175","Protestant","Moderate",1974,"Religious","Other"
"176","Catholic","Slightly Liberal",1974,"Religious","Liberal"
"177","Catholic","Moderate",1974,"Religious","Other"
"178","None","Liberal",1974,"Non_religious","Liberal"
"179","Catholic","Slightly Liberal",1974,"Religious","Liberal"
"180","Catholic","Conservative",1974,"Religious","Other"
"181","Protestant","Moderate",1974,"Religious","Other"
"182","Protestant","Moderate",1974,"Religious","Other"
"183","Protestant","Conservative",1974,"Religious","Other"
"184","Protestant","Moderate",1974,"Religious","Other"
"185","Protestant","Liberal",1974,"Religious","Liberal"
"186","Protestant","Slightly Liberal",1974,"Religious","Liberal"
"187","Catholic","Slightly Liberal",1974,"Religious","Liberal"
"188","Protestant","Slightly Liberal",1974,"Religious","Liberal"
"189","Protestant","Moderate",1974,"Religious","Other"
"190","Catholic","Moderate",1974,"Religious","Other"
"191","Catholic","Moderate",1974,"Religious","Other"
"192","Catholic","Moderate",1974,"Religious","Other"
"193","Protestant","Conservative",1974,"Religious","Other"
"194","Protestant","Liberal",1974,"Religious","Liberal"
"195","Protestant","Moderate",1974,"Religious","Other"
"196","Protestant","Extrmly Conservative",1974,"Religious","Other"
"197","Protestant","Slightly Conservative",1974,"Religious","Other"
"198","Protestant","Slightly Conservative",1974,"Religious","Other"
"199","None","Moderate",1974,"Non_religious","Other"
"200","Catholic","Moderate",1974,"Religious","Other"
"201","Protestant","Moderate",1974,"Religious","Other"
"202","Protestant","Moderate",1974,"Religious","Other"
"203","Protestant","Moderate",1974,"Religious","Other"
"204","Protestant","Moderate",1974,"Religious","Other"
"205","Catholic","Slightly Conservative",1974,"Religious","Other"
"206","Protestant","Moderate",1974,"Religious","Other"
"207","Catholic","Liberal",1974,"Religious","Liberal"
"208","Catholic","Slightly Liberal",1974,"Religious","Liberal"
"209","Protestant","Liberal",1974,"Religious","Liberal"
"210","Protestant","Moderate",1974,"Religious","Other"
"211","Protestant","Conservative",1974,"Religious","Other"
"212","Catholic","Slightly Liberal",1974,"Religious","Liberal"
"213","Protestant","Conservative",1974,"Religious","Other"
"214","Protestant","Moderate",1974,"Religious","Other"
"215","Protestant","Moderate",1974,"Religious","Other"
"216","Catholic","Liberal",1974,"Religious","Liberal"
"217","Protestant","Moderate",1974,"Religious","Other"
"218","Protestant","Slightly Conservative",1974,"Religious","Other"
"219","Protestant","Moderate",1974,"Religious","Other"
"220","Protestant","Slightly Conservative",1974,"Religious","Other"
"221","Protestant","Slightly Liberal",1974,"Religious","Liberal"
"222","Protestant","Slightly Liberal",1974,"Religious","Liberal"
"223","Protestant","Conservative",1974,"Religious","Other"
"224","Protestant","Moderate",1974,"Religious","Other"
"225","Protestant","Moderate",1974,"Religious","Other"
"226","None","Moderate",1974,"Non_religious","Other"
"227","Protestant","Moderate",1974,"Religious","Other"
"228","Catholic","Moderate",1974,"Religious","Other"
"229","None","Moderate",1974,"Non_religious","Other"
"230","Protestant","Moderate",1974,"Religious","Other"
"231","Catholic","Moderate",1974,"Religious","Other"
"232","Protestant","Slightly Liberal",1974,"Religious","Liberal"
"233","Protestant","Conservative",1974,"Religious","Other"
"234","Catholic","Slightly Conservative",1974,"Religious","Other"
"235","Catholic","Moderate",1974,"Religious","Other"
"236","Catholic","Slightly Liberal",1974,"Religious","Liberal"
"237","Protestant","Liberal",1974,"Religious","Liberal"
"238","Protestant","Conservative",1974,"Religious","Other"
"239","None","Moderate",1974,"Non_religious","Other"
"240","Catholic","Conservative",1974,"Religious","Other"
"241","Catholic","Conservative",1974,"Religious","Other"
"242","Protestant","Moderate",1974,"Religious","Other"
"243","None","Liberal",1974,"Non_religious","Liberal"
"244","Catholic","Conservative",1974,"Religious","Other"
"245","Protestant","Slightly Conservative",1974,"Religious","Other"
"246","Protestant","Slightly Liberal",1974,"Religious","Liberal"
"247","Protestant","Slightly Conservative",1974,"Religious","Other"
"248","Protestant","Moderate",1974,"Religious","Other"
"249","Protestant","Moderate",1974,"Religious","Other"
"250","Protestant","Slightly Liberal",1974,"Religious","Liberal"
"251","Protestant","Moderate",1974,"Religious","Other"
"252","Catholic","Moderate",1974,"Religious","Other"
"253","Catholic","Slightly Liberal",1974,"Religious","Liberal"
"254","Catholic","Moderate",1974,"Religious","Other"
"255","Catholic","Liberal",1974,"Religious","Liberal"
"256","Catholic","Moderate",1974,"Religious","Other"
"257","Catholic","Moderate",1974,"Religious","Other"
"258","Protestant","Slightly Liberal",1974,"Religious","Liberal"
"259","Protestant","Liberal",1974,"Religious","Liberal"
"260","Catholic","Moderate",1974,"Religious","Other"
"261","Protestant","Slightly Liberal",1974,"Religious","Liberal"
"262","Catholic","Moderate",1974,"Religious","Other"
"263","None","Slightly Liberal",1974,"Non_religious","Liberal"
"264","Protestant","Moderate",1974,"Religious","Other"
"265","Protestant","Slightly Conservative",1974,"Religious","Other"
"266","Protestant","Slightly Conservative",1974,"Religious","Other"
"267","Protestant","Moderate",1974,"Religious","Other"
"268","Catholic","Slightly Liberal",1974,"Religious","Liberal"
"269","Catholic","Moderate",1974,"Religious","Other"
"270","Catholic","Moderate",1974,"Religious","Other"
"271","Catholic","Slightly Liberal",1974,"Religious","Liberal"
"272","Protestant","Slightly Conservative",1974,"Religious","Other"
"273","Catholic","Slightly Conservative",1974,"Religious","Other"
"274","Protestant","Slightly Conservative",1974,"Religious","Other"
"275","Catholic","Liberal",1974,"Religious","Liberal"
"276","Catholic","Slightly Liberal",1974,"Religious","Liberal"
"277","Catholic","Moderate",1974,"Religious","Other"
"278","Protestant","Slightly Liberal",1974,"Religious","Liberal"
"279","Protestant","Moderate",1974,"Religious","Other"
"280","Protestant","Liberal",1974,"Religious","Liberal"
"281","Protestant","Moderate",1974,"Religious","Other"
"282","None","Moderate",1974,"Non_religious","Other"
"283","Jewish","Liberal",1974,"Religious","Liberal"
"284","Protestant","Conservative",1974,"Religious","Other"
"285","Protestant","Slightly Conservative",1974,"Religious","Other"
"286","Catholic","Conservative",1974,"Religious","Other"
"287","None","Liberal",1974,"Non_religious","Liberal"
"288","Protestant","Moderate",1974,"Religious","Other"
"289","Catholic","Slightly Liberal",1974,"Religious","Liberal"
"290","Protestant","Extremely Liberal",1974,"Religious","Liberal"
"291","Protestant","Liberal",1974,"Religious","Liberal"
"292","Catholic","Moderate",1974,"Religious","Other"
"293","Protestant","Liberal",1974,"Religious","Liberal"
"294","Catholic","Moderate",1974,"Religious","Other"
"295","Protestant","Slightly Conservative",1974,"Religious","Other"
"296","Catholic","Moderate",1974,"Religious","Other"
"297","Protestant","Moderate",1974,"Religious","Other"
"298","Catholic","Moderate",1974,"Religious","Other"
"299","Protestant","Slightly Liberal",1974,"Religious","Liberal"
"300","Protestant","Slightly Conservative",1974,"Religious","Other"
"301","Protestant","Slightly Liberal",1974,"Religious","Liberal"
"302","Protestant","Liberal",1974,"Religious","Liberal"
"303","Protestant","Moderate",1974,"Religious","Other"
"304","None","Liberal",1974,"Non_religious","Liberal"
"305","Catholic","Moderate",1974,"Religious","Other"
"306","Protestant","Conservative",1974,"Religious","Other"
"307","Protestant","Moderate",1974,"Religious","Other"
"308","Jewish","Moderate",1974,"Religious","Other"
"309","Protestant","Moderate",1974,"Religious","Other"
"310","Protestant","Liberal",1974,"Religious","Liberal"
"311","Protestant","Liberal",1974,"Religious","Liberal"
"312","Catholic","Liberal",1974,"Religious","Liberal"
"313","Jewish","Liberal",1974,"Religious","Liberal"
"314","Jewish","Moderate",1974,"Religious","Other"
"315","Catholic","Moderate",1974,"Religious","Other"
"316","Jewish","Slightly Liberal",1974,"Religious","Liberal"
"317","Protestant","Moderate",1974,"Religious","Other"
"318","Protestant","Slightly Liberal",1974,"Religious","Liberal"
"319","Protestant","Moderate",1974,"Religious","Other"
"320","Protestant","Slightly Liberal",1974,"Religious","Liberal"
"321","Catholic","Liberal",1974,"Religious","Liberal"
"322","None","Liberal",1974,"Non_religious","Liberal"
"323","Protestant","Slightly Liberal",1974,"Religious","Liberal"
"324","Catholic","Extrmly Conservative",1974,"Religious","Other"
"325","Protestant","Moderate",1974,"Religious","Other"
"326","Protestant","Conservative",1974,"Religious","Other"
"327","Catholic","Slightly Conservative",1974,"Religious","Other"
"328","Protestant","Slightly Liberal",1974,"Religious","Liberal"
"329","Protestant","Moderate",1974,"Religious","Other"
"330","Protestant","Moderate",1974,"Religious","Other"
"331","Protestant","Extrmly Conservative",1974,"Religious","Other"
"332","Protestant","Conservative",1974,"Religious","Other"
"333","Protestant","Extrmly Conservative",1974,"Religious","Other"
"334","Protestant","Extrmly Conservative",1974,"Religious","Other"
"335","Protestant","Moderate",1974,"Religious","Other"
"336","Protestant","Moderate",1974,"Religious","Other"
"337","Catholic","Slightly Conservative",1974,"Religious","Other"
"338","Protestant","Moderate",1974,"Religious","Other"
"339","Protestant","Moderate",1974,"Religious","Other"
"340","Protestant","Conservative",1974,"Religious","Other"
"341","Catholic","Slightly Liberal",1974,"Religious","Liberal"
"342","Protestant","Conservative",1974,"Religious","Other"
"343","Protestant","Slightly Conservative",1974,"Religious","Other"
"344","Protestant","Conservative",1974,"Religious","Other"
"345","Protestant","Slightly Conservative",1974,"Religious","Other"
"346","Protestant","Moderate",1974,"Religious","Other"
"347","Protestant","Liberal",1974,"Religious","Liberal"
"348","Protestant","Slightly Conservative",1974,"Religious","Other"
"349","Protestant","Moderate",1974,"Religious","Other"
"350","Catholic","Moderate",1974,"Religious","Other"
"351","Catholic","Moderate",1974,"Religious","Other"
"352","Protestant","Slightly Liberal",1974,"Religious","Liberal"
"353","Catholic","Moderate",1974,"Religious","Other"
"354","Protestant","Moderate",1974,"Religious","Other"
"355","Protestant","Liberal",1974,"Religious","Liberal"
"356","Protestant","Moderate",1974,"Religious","Other"
"357","None","Slightly Liberal",1974,"Non_religious","Liberal"
"358","Protestant","Liberal",1974,"Religious","Liberal"
"359","Protestant","Liberal",1974,"Religious","Liberal"
"360","Protestant","Slightly Conservative",1974,"Religious","Other"
"361","Catholic","Moderate",1974,"Religious","Other"
"362","Catholic","Liberal",1974,"Religious","Liberal"
"363","Protestant","Liberal",1974,"Religious","Liberal"
"364","Protestant","Moderate",1974,"Religious","Other"
"365","Protestant","Extremely Liberal",1974,"Religious","Liberal"
"366","Protestant","Liberal",1974,"Religious","Liberal"
"367","Protestant","Conservative",1974,"Religious","Other"
"368","Protestant","Slightly Liberal",1974,"Religious","Liberal"
"369","Protestant","Moderate",1974,"Religious","Other"
"370","Protestant","Slightly Liberal",1974,"Religious","Liberal"
"371","Protestant","Moderate",1974,"Religious","Other"
"372","Jewish","Slightly Conservative",1974,"Religious","Other"
"373","Jewish","Moderate",1974,"Religious","Other"
"374","Jewish","Slightly Liberal",1974,"Religious","Liberal"
"375","Protestant","Slightly Liberal",1974,"Religious","Liberal"
"376","Protestant","Liberal",1974,"Religious","Liberal"
"377","Protestant","Liberal",1974,"Religious","Liberal"
"378","Protestant","Slightly Liberal",1974,"Religious","Liberal"
"379","Protestant","Liberal",1974,"Religious","Liberal"
"380","Protestant","Liberal",1974,"Religious","Liberal"
"381","Protestant","Conservative",1974,"Religious","Other"
"382","Protestant","Liberal",1974,"Religious","Liberal"
"383","Protestant","Moderate",1974,"Religious","Other"
"384","Protestant","Slightly Liberal",1974,"Religious","Liberal"
"385","Protestant","Moderate",1974,"Religious","Other"
"386","Protestant","Conservative",1974,"Religious","Other"
"387","Protestant","Conservative",1974,"Religious","Other"
"388","Protestant","Slightly Conservative",1974,"Religious","Other"
"389","Protestant","Moderate",1974,"Religious","Other"
"390","Protestant","Slightly Liberal",1974,"Religious","Liberal"
"391","Protestant","Moderate",1974,"Religious","Other"
"392","Catholic","Moderate",1974,"Religious","Other"
"393","Protestant","Extremely Liberal",1974,"Religious","Liberal"
"394","Protestant","Slightly Conservative",1974,"Religious","Other"
"395","Protestant","Moderate",1974,"Religious","Other"
"396","Protestant","Slightly Conservative",1974,"Religious","Other"
"397","Protestant","Slightly Liberal",1974,"Religious","Liberal"
"398","Catholic","Moderate",1974,"Religious","Other"
"399","Catholic","Moderate",1974,"Religious","Other"
"400","Catholic","Slightly Liberal",1974,"Religious","Liberal"
"401","Catholic","Liberal",1974,"Religious","Liberal"
"402","Protestant","Liberal",1974,"Religious","Liberal"
"403","Protestant","Moderate",1974,"Religious","Other"
"404","Protestant","Slightly Conservative",1974,"Religious","Other"
"405","Catholic","Conservative",1974,"Religious","Other"
"406","Protestant","Slightly Liberal",1974,"Religious","Liberal"
"407","Protestant","Moderate",1974,"Religious","Other"
"408","Catholic","Slightly Liberal",1974,"Religious","Liberal"
"409","Protestant","Moderate",1974,"Religious","Other"
"410","Catholic","Slightly Conservative",1974,"Religious","Other"
"411","Protestant","Conservative",1974,"Religious","Other"
"412","Protestant","Liberal",1974,"Religious","Liberal"
"413","Protestant","Moderate",1974,"Religious","Other"
"414","Protestant","Slightly Conservative",1974,"Religious","Other"
"415","Protestant","Moderate",1974,"Religious","Other"
"416","Protestant","Moderate",1974,"Religious","Other"
"417","Catholic","Moderate",1974,"Religious","Other"
"418","Protestant","Slightly Liberal",1974,"Religious","Liberal"
"419","Catholic","Conservative",1974,"Religious","Other"
"420","Protestant","Moderate",1974,"Religious","Other"
"421","Catholic","Slightly Conservative",1974,"Religious","Other"
"422","None","Moderate",1974,"Non_religious","Other"
"423","Protestant","Liberal",1974,"Religious","Liberal"
"424","Protestant","Slightly Liberal",1974,"Religious","Liberal"
"425","Protestant","Moderate",1974,"Religious","Other"
"426","Protestant","Slightly Liberal",1974,"Religious","Liberal"
"427","None","Extremely Liberal",1974,"Non_religious","Liberal"
"428","Jewish","Liberal",1974,"Religious","Liberal"
"429","Jewish","Slightly Liberal",1974,"Religious","Liberal"
"430","Jewish","Liberal",1974,"Religious","Liberal"
"431","Jewish","Moderate",1974,"Religious","Other"
"432","Protestant","Slightly Conservative",1974,"Religious","Other"
"433","Catholic","Slightly Liberal",1974,"Religious","Liberal"
"434","Catholic","Slightly Conservative",1974,"Religious","Other"
"435","Catholic","Liberal",1974,"Religious","Liberal"
"436","Catholic","Slightly Conservative",1974,"Religious","Other"
"437","Catholic","Slightly Conservative",1974,"Religious","Other"
"438","None","Liberal",1974,"Non_religious","Liberal"
"439","Protestant","Slightly Liberal",1974,"Religious","Liberal"
"440","Protestant","Liberal",1974,"Religious","Liberal"
"441","None","Liberal",1974,"Non_religious","Liberal"
"442","Protestant","Liberal",1974,"Religious","Liberal"
"443","None","Slightly Liberal",1974,"Non_religious","Liberal"
"444","None","Conservative",1974,"Non_religious","Other"
"445","Protestant","Moderate",1974,"Religious","Other"
"446","Protestant","Slightly Conservative",1974,"Religious","Other"
"447","Protestant","Moderate",1974,"Religious","Other"
"448","Protestant","Liberal",1974,"Religious","Liberal"
"449","Protestant","Liberal",1974,"Religious","Liberal"
"450","Protestant","Slightly Liberal",1974,"Religious","Liberal"
"451","Protestant","Moderate",1974,"Religious","Other"
"452","Protestant","Moderate",1974,"Religious","Other"
"453","Protestant","Slightly Conservative",1974,"Religious","Other"
"454","Protestant","Slightly Conservative",1974,"Religious","Other"
"455","Protestant","Moderate",1974,"Religious","Other"
"456","Protestant","Liberal",1974,"Religious","Liberal"
"457","Protestant","Moderate",1974,"Religious","Other"
"458","Protestant","Moderate",1974,"Religious","Other"
"459","Protestant","Liberal",1974,"Religious","Liberal"
"460","Protestant","Liberal",1974,"Religious","Liberal"
"461","Protestant","Moderate",1974,"Religious","Other"
"462","Protestant","Slightly Conservative",1974,"Religious","Other"
"463","Protestant","Moderate",1974,"Religious","Other"
"464","Protestant","Conservative",1974,"Religious","Other"
"465","Protestant","Slightly Liberal",1974,"Religious","Liberal"
"466","Protestant","Moderate",1974,"Religious","Other"
"467","Protestant","Moderate",1974,"Religious","Other"
"468","Protestant","Moderate",1974,"Religious","Other"
"469","Protestant","Moderate",1974,"Religious","Other"
"470","Protestant","Slightly Liberal",1974,"Religious","Liberal"
"471","Protestant","Moderate",1974,"Religious","Other"
"472","Catholic","Moderate",1974,"Religious","Other"
"473","Protestant","Liberal",1974,"Religious","Liberal"
"474","Protestant","Moderate",1974,"Religious","Other"
"475","Protestant","Conservative",1974,"Religious","Other"
"476","Other","Moderate",1974,"Religious","Other"
"477","Protestant","Liberal",1974,"Religious","Liberal"
"478","Protestant","Liberal",1974,"Religious","Liberal"
"479","Protestant","Moderate",1974,"Religious","Other"
"480","Protestant","Moderate",1974,"Religious","Other"
"481","Protestant","Moderate",1974,"Religious","Other"
"482","Protestant","Slightly Conservative",1974,"Religious","Other"
"483","Protestant","Slightly Conservative",1974,"Religious","Other"
"484","Catholic","Moderate",1974,"Religious","Other"
"485","Protestant","Conservative",1974,"Religious","Other"
"486","Protestant","Moderate",1974,"Religious","Other"
"487","Catholic","Slightly Conservative",1974,"Religious","Other"
"488","Catholic","Liberal",1974,"Religious","Liberal"
"489","Protestant","Slightly Conservative",1974,"Religious","Other"
"490","Protestant","Moderate",1974,"Religious","Other"
"491","None","Liberal",1974,"Non_religious","Liberal"
"492","Protestant","Slightly Conservative",1974,"Religious","Other"
"493","Protestant","Slightly Liberal",1974,"Religious","Liberal"
"494","Protestant","Moderate",1974,"Religious","Other"
"495","Protestant","Slightly Conservative",1974,"Religious","Other"
"496","Protestant","Moderate",1974,"Religious","Other"
"497","Protestant","Slightly Conservative",1974,"Religious","Other"
"498","Protestant","Moderate",1974,"Religious","Other"
"499","Protestant","Liberal",1974,"Religious","Liberal"
"500","Catholic","Moderate",1974,"Religious","Other"
"501","Catholic","Liberal",1974,"Religious","Liberal"
"502","None","Slightly Liberal",1974,"Non_religious","Liberal"
"503","Catholic","Moderate",1974,"Religious","Other"
"504","Protestant","Moderate",1974,"Religious","Other"
"505","Catholic","Extremely Liberal",1974,"Religious","Liberal"
"506","Catholic","Slightly Liberal",1974,"Religious","Liberal"
"507","Catholic","Slightly Conservative",1974,"Religious","Other"
"508","Catholic","Conservative",1974,"Religious","Other"
"509","Catholic","Liberal",1974,"Religious","Liberal"
"510","Protestant","Moderate",1974,"Religious","Other"
"511","Protestant","Slightly Conservative",1974,"Religious","Other"
"512","Protestant","Slightly Liberal",1974,"Religious","Liberal"
"513","Catholic","Slightly Conservative",1974,"Religious","Other"
"514","Protestant","Slightly Conservative",1974,"Religious","Other"
"515","Catholic","Slightly Liberal",1974,"Religious","Liberal"
"516","Protestant","Conservative",1974,"Religious","Other"
